0,1
Matching_Word,Sentence
Jadhav,"the international court of justice (icj) will hear for a week in february the case of indian national kulbhushan jadhav, 47, who was sentenced to death in april 2017 by a pakistani military court on spying charges, according to a media report on wednesday."
Jadhav,the icj halted jadhav’s execution on india's appeal pending the final verdict by it.
Africa,"according to the projections, india’s population growth of about 22.5% will be lower than the 29.3% growth in global population, marking a radical departure from the past as africa emerges as the continent pushing the growth of the global population."
children,"from over one out of every four people in 2018, the global population of children is projected to come down to about one in five or 21% by 2050. at the same time, the share of the 65+ population will rise from less than one in 10 in 2018 to about one in six."
children,"according to prb projections, in india, children will form 19% of the population in 2050, down from 28% in 2018, while the proportion of those above 65 years will rise to 13% from 6%."
children,"dependency ratio is the number of people in a dependent age group (those under age 15 or ages 65 and older) divided by the number in the working-age group (ages 15 to 64), multiplied by 100. for instance, a child dependency ratio of 45 means there are 45 children for every 100 working-age individuals."
children,"calculations based on the data given in the prb’s world population datasheet 2018 show that in the 2018 to 2050 period, india is projected to go from a moderate child dependency ratio (defined as 29 to 45) of about 42 and low old age dependency ratio (15 or less) of around 9 to low child dependency ratio of 28 and high old age dependency ratio of 19.
according to prb, india is set to reach two major milestones in the next 10 years — it will surpass china to become the world’s most populous country and also reach replacement fertility as families have fewer children."
children,"replacement fertility means that each couple has, on average, only enough children to “replace” itself in the population without increasing the size of the next generation."
firecrackers,the centre has opposed a nationwide ban on firecrackers and told the sc that a regulatory mechanism should be put in place to restrain manufacturers from using polluting raw materials.
firecrackers,it said production of “series” crackers could be banned and states could designate places for bursting of firecrackers.
government,"satya pal malik, who will take over as j&k governor on thursday, said his top priorities would be to carry out the modi government’s mandate to “win the hearts of the people of j&k” and ensure a balance between the three regions of jammu, kashmir and ladakh."
government,"the government has chosen me because as a career politician, i may be better suited to discharge this mandate,” he said."
Violence,violence marred eid-ul-adha celebrations across the kashmir valley on wednesday when terrorists attacked and killed three policemen and a bjp functionary in four separate incidents.
Centre,the firm is believed to have told the centre that it has no access to user data (it’s encrypted end to end) and tampering with that will strike at its key feature — complete privacy to the user.
Centre,the centre has opposed a nationwide ban on firecrackers and told the sc that a regulatory mechanism should be put in place to restrain manufacturers from using polluting raw materials.
BJP,violence marred eid-ul-adha celebrations across the kashmir valley on wednesday when terrorists attacked and killed three policemen and a bjp functionary in four separate incidents.
BJP,bullet-ridden body of bjp man found in j&k.
BJP,"meanwhile, the bullet-riddled body of a bjp functionary, shabir ahmad bhat from pathan village of pulwama, who had been abducted by terrorists when he was going home on tuesday evening, was found in litter village of pulwama district on wednesday morning, police said."
Modi,"satya pal malik, who will take over as j&k governor on thursday, said his top priorities would be to carry out the modi government’s mandate to “win the hearts of the people of j&k” and ensure a balance between the three regions of jammu, kashmir and ladakh."
Modi,“pm modi has been talking of winning over the people of j&k and gaining their trust.
